timestamp,name,msg.value,Type,msg.sender,msg.tick,msg.type,msg.toString(),msg.id,,
2017-04-11 20:59:51.019,3Â VoidÂ Dusk,Whats a good way to level up attack?,1,null,19422,2,MessageNode@f59e024,929,,
2017-04-11 21:03:07.72,3Â VoidÂ Dusk,Lol,1,null,27643,2,MessageNode@514e7b0b,1343,,
2017-04-11 21:04:24.023,3Â VoidÂ Dusk,Free shit,1,null,30753,2,MessageNode@48e173c3,1496,,
2017-04-11 21:04:55.257,3Â VoidÂ Dusk,There ya go,1,null,32269,2,MessageNode@477138b8,1558,,
2017-04-11 21:06:00.258,3Â VoidÂ Dusk,?,1,null,34884,2,MessageNode@38e43a03,1683,,
2017-04-11 21:06:12.934,3Â VoidÂ Dusk,I was just gonna give u that lol,1,null,35447,2,MessageNode@db0b41a,1705,,
2017-04-11 21:06:43.661,3Â VoidÂ Dusk,Thanks lol,1,null,36984,2,MessageNode@7271aa42,1762,,
2017-04-11 21:44:25.897,3Â VoidÂ Dusk,Buying random stuff cause why not,1,null,23536,2,MessageNode@2f0c7e59,401,,
2017-04-11 21:45:00.586,3Â VoidÂ Dusk,Buying randoms hit,1,null,25271,2,MessageNode@3a0b5d8d,462,,
2017-04-11 21:45:04.176,3Â VoidÂ Dusk,Shit*,1,null,25450,2,MessageNode@2236d783,471,,
2017-04-11 21:45:21.162,3Â VoidÂ Dusk,What u got?,1,null,26184,2,MessageNode@119b60b7,497,,
2017-04-11 21:45:35.133,3Â VoidÂ Dusk,Lol,1,null,26880,2,MessageNode@2f0c7e59,530,,
2017-04-11 21:45:42.417,3Â VoidÂ Dusk,I wanna buy shit,1,null,27245,2,MessageNode@58b50c45,542,,
2017-04-11 21:46:03.093,3Â VoidÂ Dusk,Buying random shit,1,null,28274,2,MessageNode@72a6a99e,588,,
2017-04-11 21:46:08.456,3Â VoidÂ Dusk,Buying random shit,1,null,28547,2,MessageNode@266acbfa,602,,
2017-04-11 21:46:15.782,3Â VoidÂ Dusk,Buying random shit,1,null,28912,2,MessageNode@7e330d1f,616,,
2017-04-11 21:46:47.248,3Â VoidÂ Dusk,There ya go,1,null,30485,2,MessageNode@2f0c7e59,663,,
2017-04-11 21:47:19.309,3Â VoidÂ Dusk,Buying random shit,1,null,32090,2,MessageNode@15e3259c,718,,
2017-04-11 21:47:22.898,3Â VoidÂ Dusk,Buying random shit,1,null,32269,2,MessageNode@72a6a99e,722,,
2017-04-11 21:47:27.725,3Â VoidÂ Dusk,Buying random shit,1,null,32510,2,MessageNode@5518eb51,730,,
2017-04-11 21:47:31.936,3Â VoidÂ Dusk,Buying random shit,1,null,32720,2,MessageNode@266acbfa,734,,
2017-04-11 21:47:40.38,3Â VoidÂ Dusk,Buying random shit,1,null,33142,2,MessageNode@6e3bff6f,746,,
2017-04-11 21:47:51.207,3Â VoidÂ Dusk,Buying random shit,1,null,33684,2,MessageNode@4b433072,759,,
2017-04-11 21:48:01.456,3Â VoidÂ Dusk,Buying random shit,1,null,34197,2,MessageNode@610db23,772,,
2017-04-11 21:48:04.564,3Â VoidÂ Dusk,Buying random shit,1,null,34351,2,MessageNode@625a9459,774,,
2017-04-11 21:51:21.339,3Â VoidÂ Dusk,Tossing money like its nothing rn,1,null,44125,2,MessageNode@17459f44,81,,
2017-04-11 21:51:49.681,3Â VoidÂ Dusk,Literally tossing money,1,null,45538,2,MessageNode@59fb812b,125,,
2017-04-11 21:51:55.679,3Â VoidÂ Dusk,Anyone want a bit?,1,null,45839,2,MessageNode@a77d64e,138,,
2017-04-11 21:37:18.554,4twentea,Yeah,1,null,2833,2,MessageNode@38722446,30,,
2017-04-11 21:37:26.295,4twentea,Already reported,1,null,3213,2,MessageNode@7c1df224,39,,
2017-04-11 20:52:29.129,A30,Good prize,1,null,1878,2,MessageNode@69a9bbc8,11,,
2017-04-11 20:52:33.944,A30,Ye,1,null,2119,2,MessageNode@278e7a2f,22,,
2017-04-11 20:52:52.176,A30,Numb,1,null,3011,2,MessageNode@56d5a2b8,48,,
2017-04-11 20:53:09.686,A30,Another good prize,1,null,3463,2,MessageNode@604478e3,85,,
2017-04-11 20:53:50.043,A30,Unlucky bro,1,null,4731,2,MessageNode@68b80096,159,,
2017-04-11 20:54:02.485,A30,Sorry,1,null,5219,2,MessageNode@477138b8,188,,
2017-04-11 20:54:09.023,A30,Close to a rune axe,1,null,5547,2,MessageNode@36260e18,198,,
2017-04-11 20:54:31.317,A30,Num,1,null,6655,2,MessageNode@37f6f52b,240,,
2017-04-11 20:54:48.473,A30,"6,725,15 are gone",1,null,7321,2,MessageNode@15843e7e,275,,
2017-04-11 20:54:58.828,A30,8 and 9 too,1,null,7601,2,MessageNode@56d5a2b8,291,,
2017-04-11 20:55:10.007,A30,Aww bro,1,null,7961,2,MessageNode@36260e18,316,,
2017-04-11 20:55:18.448,A30,So sorry,1,null,8273,2,MessageNode@74c74d99,333,,
2017-04-11 20:55:36.462,A30,You where 1 off pickaxe,1,null,9093,2,MessageNode@6d5b3475,370,,
2017-04-11 20:55:54.584,A30,So close,1,null,9999,2,MessageNode@1e036807,413,,
2017-04-11 20:56:13.36,A30,Its only a bit of fun,1,null,10936,2,MessageNode@514e7b0b,455,,
2017-04-11 20:56:25.075,A30,Ull make back,1,null,11376,2,MessageNode@1961b26,477,,
2017-04-11 20:56:31.814,A30,Sure,1,null,11586,2,MessageNode@50be5731,491,,
2017-04-11 20:56:49.394,A30,Broooo,1,null,12066,2,MessageNode@35f5c84,532,,
2017-04-11 20:56:52.949,A30,Congratz,1,null,12136,2,MessageNode@56d5a2b8,539,,
2017-04-11 20:57:48.277,A30,Num,1,null,14378,2,MessageNode@138dec26,678,,
2017-04-11 20:58:05.862,A30,Congratz,1,null,15256,2,MessageNode@33e4c46b,719,,
2017-04-11 20:58:12.681,A30,Thats good,1,null,15455,2,MessageNode@de5e9e2,733,,
2017-04-11 20:58:58.066,A30,Any,1,null,16923,2,MessageNode@2b0c5b11,816,,
2017-04-11 20:59:05.388,A30,Ill tell u if blank,1,null,17289,2,MessageNode@4071d583,833,,
2017-04-11 20:59:14.474,A30,Go gin,1,null,17740,2,MessageNode@74c74d99,850,,
2017-04-11 20:59:18.091,A30,Again,1,null,17923,2,MessageNode@37651e9b,859,,
2017-04-11 20:59:19.286,A30,Its blank,1,null,17984,2,MessageNode@b38392d,861,,
2017-04-11 20:59:29.683,A30,Broooo unlucky,1,null,18504,2,MessageNode@6122c020,880,,
2017-04-11 21:00:14.503,A30,Numb,1,null,20397,2,MessageNode@1ca22a10,976,,
2017-04-11 21:00:23.747,A30,Go again,1,null,20769,2,MessageNode@37f6f52b,1004,,
2017-04-11 21:00:26.252,A30,Its blank,1,null,20876,2,MessageNode@78998bd2,1009,,
2017-04-11 21:00:47.398,A30,Good prize,1,null,21630,2,MessageNode@7da3bac9,1048,,
2017-04-11 21:00:51.013,A30,No lol,1,null,21774,2,MessageNode@56d5a2b8,1052,,
2017-04-11 21:00:55.335,A30,Look,1,null,21987,2,MessageNode@51b2bf2d,1062,,
2017-04-11 21:01:17.734,A30,The prizes,1,null,23110,2,MessageNode@db0b41a,1104,,
2017-04-11 21:01:24.397,A30,They good,1,null,23443,2,MessageNode@1961b26,1122,,
2017-04-11 21:01:33.558,A30,Okay let me re arrange,1,null,23900,2,MessageNode@17f3cc8e,1141,,
2017-04-11 21:01:59.764,A30,Pick a num,1,null,25107,2,MessageNode@a4c5bb2,1199,,
2017-04-11 21:02:05.223,A30,Go another its blank,1,null,25267,2,MessageNode@38e43a03,1210,,
2017-04-11 21:02:18.483,A30,Sorry bro,1,null,25687,2,MessageNode@bc17649,1238,,
2017-04-11 21:02:41.118,A30,5k,1,null,26407,2,MessageNode@68b80096,1289,,
2017-04-11 21:02:21.649,Andres9725,WhatÂ´s the difference between lg set and sk set?,1,null,25767,2,MessageNode@24b4ae43,1245,,
2017-04-11 21:55:51.343,Arvanion,Hey prof,1,null,57558,2,MessageNode@7e827a9f,500,,
2017-04-11 21:59:30.841,Arvanion,How much you say?,1,null,68532,2,MessageNode@5af2f1e6,868,,
2017-04-11 21:59:49.062,Arvanion,How much for the satanic shit,1,null,69443,2,MessageNode@a77d64e,896,,
2017-04-11 22:00:07.238,Arvanion,How much for your voodoo rituals!!!!!!!!!!!,1,null,70351,2,MessageNode@ed5a27e,926,,
2017-04-11 22:07:09.496,Arvanion,Hey villla ,1,null,91422,2,MessageNode@27104ca1,1762,,
2017-04-11 22:07:32.119,Arvanion,What u cooking,1,null,92540,2,MessageNode@1ab5f4ae,1814,,
2017-04-11 20:56:10.91,AshenCream,Show me drop pls,1,null,10812,2,MessageNode@33e4c46b,448,,
2017-04-11 20:56:35.971,AshenCream,What is te drop?,1,null,11716,2,MessageNode@786b5d88,497,,
2017-04-11 20:56:55.509,AshenCream,Omg tysm,1,null,12167,2,MessageNode@410ef214,546,,
2017-04-11 20:57:36.103,AshenCream,Kek,1,null,13770,2,MessageNode@3e9c99a3,648,,
2017-04-11 20:58:03.387,AshenCream,Lol ill still take abond,1,null,15134,2,MessageNode@36260e18,714,,
2017-04-11 20:59:04.746,AshenCream,Doubleeeeeeeeee penetrattttttionnnnnnnnnnnnn,1,null,17257,2,MessageNode@68620730,830,,
2017-04-11 21:42:35.313,AstroG101,1 trade double,1,null,18179,2,MessageNode@7768f4ec,149,,
2017-04-11 21:03:41.166,AustyAceved,Youre beautiful,1,null,29305,2,MessageNode@5654f0a8,1411,,
2017-04-11 21:45:28.424,AW MAGNUM,Ok,1,null,26545,2,MessageNode@5700cecb,510,,
2017-04-11 20:59:40.573,Axleism,Fuck doubling,1,null,19047,2,MessageNode@278e7a2f,905,,
2017-04-11 21:41:57.149,babyharv,Pls guys,1,null,16299,2,MessageNode@c8a7961,67,,
2017-04-11 21:42:45.623,babyharv,Pls someone lend me some cash ,1,null,18685,2,MessageNode@6da59990,176,,
